 ,Area,Mean,StdDev,Perim.,Median
1,438.940,102.571,31.253,83.554,100
2,307.521,99.815,32.041,79.853,96
3,679.108,99.187,31.693,122.722,96
4,388.398,97.003,32.105,82.075,93
5,519.489,95.303,32.150,89.403,91
6,415.907,93.438,33.147,81.649,89
7,568.357,96.010,37.793,92.687,90
8,486.801,102.695,38.281,92.745,97
9,471.894,100.466,40.458,94.998,94
10,284.852,104.024,34.738,63.921,101
11,361.726,105.424,33.443,82.079,102
12,629.840,97.437,30.867,132.193,94
13,262.401,96.745,30.219,61.486,94
14,221.344,100.864,33.384,69.310,97
15,570.104,106.465,36.120,101.490,102
16,668.155,105.119,34.308,122.498,101
17,735.739,98.289,30.679,123.030,95
18,408.690,92.388,27.435,95.998,90
19,450.159,93.982,29.822,100.605,91
20,494.649,90.337,29.767,93.398,87
21,206.510,96.446,32.835,59.709,93
22,554.105,97.536,33.424,108.973,94
23,501.586,103.484,38.484,90.982,99
24,828.538,108.392,37.121,127.334,103
25,834.676,99.753,32.115,109.240,96
26,683.026,100.723,32.551,117.118,97
27,683.402,96.305,31.880,110.220,93
28,527.215,93.689,31.190,88.953,90
29,548.951,92.290,28.876,92.909,90
30,412.025,94.769,30.551,82.150,92
31,515.862,96.859,32.827,96.338,93
32,285.398,94.945,29.760,80.527,92
33,396.536,94.317,32.732,83.756,91
34,602.246,108.651,37.787,128.972,103
35,498.894,100.870,32.109,88.286,98
36,957.689,97.585,32.029,206.283,94
37,1188.833,93.210,30.203,159.738,90
38,788.646,102.501,31.690,126.666,99
39,673.686,100.042,35.156,113.398,96
40,428.436,99.077,36.225,87.856,94
41,412.547,96.072,33.106,85.589,92
42,370.507,97.479,33.669,79.759,93
43,397.822,99.827,32.887,85.368,96
44,712.900,93.103,31.337,121.480,89
45,475.982,97.214,33.886,97.300,93
46,748.426,95.144,32.440,112.770,91
47,576.496,104.943,33.624,96.075,101
48,618.851,106.468,36.178,105.650,102
49,574.846,102.846,33.943,120.200,99
50,580.401,101.451,34.909,101.159,97
51,496.929,101.861,32.509,83.961,99
52,990.704,95.468,31.588,134.136,92
53,851.596,106.184,36.904,120.709,102
54,709.358,107.775,37.643,116.073,103
55,963.317,103.215,36.552,127.786,98
56,648.324,101.465,34.865,113.985,97
57,1183.896,95.936,33.434,179.210,92
58,1027.225,92.499,33.021,155.217,88
59,956.949,85.408,28.009,139.083,83
60,1030.063,93.998,33.066,154.212,90
