 ,Area,Mean,StdDev,Perim.,Median
1,299.065,154.252,37.850,65.957,151
2,317.239,154.240,38.476,86.064,152
3,211.737,148.908,37.443,66.753,145
4,221.033,139.094,35.231,62.745,136
5,233.919,139.426,34.322,68.549,136
6,274.999,143.924,42.847,77.464,141
7,284.899,143.008,36.287,74.111,139
8,368.993,154.093,39.299,101.340,151
9,473.413,152.436,37.779,112.475,149
10,159.071,155.546,33.901,54.514,154
11,376.195,155.923,37.664,91.797,154
12,243.859,154.331,37.419,58.323,151
13,208.017,162.154,39.818,55.195,160
14,326.276,156.135,37.305,77.736,153
15,224.931,152.380,39.524,62.560,149
16,278.223,162.562,41.812,69.378,159
17,347.595,150.079,37.401,88.364,147
18,388.873,146.256,39.233,93.451,143
19,242.193,150.440,34.910,66.576,148
20,160.658,156.674,37.209,52.090,154
21,322.943,154.006,41.099,80.363,150
22,246.379,148.618,39.531,61.841,144
23,330.205,140.110,36.012,77.526,136
24,313.846,148.133,36.229,78.515,145
25,407.374,147.973,42.164,86.455,143
26,429.119,152.984,42.288,80.227,148
27,271.795,143.027,40.442,76.803,138
28,343.210,141.556,38.999,85.180,137
29,360.422,157.185,43.001,78.129,153
30,230.417,149.256,40.803,62.167,146
31,392.514,154.069,42.435,81.732,151
32,393.040,143.761,41.149,84.376,139
33,426.560,130.131,37.426,90.146,126
34,412.672,141.609,36.486,86.208,138
35,521.348,133.030,37.025,99.041,129
36,470.130,145.872,41.120,96.007,141
37,327.784,148.620,41.337,73.640,145
38,268.680,144.493,40.911,72.002,140
39,334.183,134.412,40.081,77.111,129
40,272.608,141.992,40.586,72.644,138
41,254.375,132.121,33.668,60.954,129
42,347.496,138.940,36.698,79.339,136
43,372.247,139.785,36.648,85.976,136
44,536.863,147.804,39.814,111.209,143
45,568.380,147.039,40.024,107.746,143
