 ,Area,Mean,StdDev,Perim.,Median
1,1429.438,99.567,19.475,148.134,97
2,1143.458,95.025,19.709,164.161,92
3,1487.136,99.487,24.078,184.851,95
4,1194.194,94.937,17.400,174.983,93
5,831.061,96.776,20.450,120.921,94
6,1390.370,100.439,22.983,181.114,96
7,708.642,91.557,16.303,113.376,90
8,1662.559,99.484,23.351,178.642,95
9,1733.696,95.502,20.312,209.983,92
10,1701.906,103.751,26.264,192.647,99
11,1375.148,95.318,21.781,164.598,92
12,2011.173,98.843,22.757,217.812,95
13,2463.249,98.742,22.730,260.553,95
14,2476.360,98.383,21.913,313.294,95
15,2230.382,96.976,23.262,264.026,93
16,1780.660,104.606,25.370,181.626,100
17,1721.033,100.340,24.363,182.161,96
18,1698.437,94.752,20.278,216.427,92
19,1724.927,96.599,22.484,176.202,92
20,1724.915,104.862,25.472,178.016,100
21,3016.178,97.305,21.655,304.760,94
22,2554.860,95.860,22.424,240.914,92
23,2247.400,96.209,20.075,250.415,93
24,2967.819,94.947,22.030,249.467,91
25,1917.027,93.818,23.966,190.182,89
26,1580.433,108.788,48.425,193.676,93
27,784.134,101.423,34.810,108.038,93
28,1724.211,95.406,24.100,188.182,91
29,2086.980,95.556,28.325,206.297,90
30,729.492,96.646,18.226,112.129,94
