 ,Area,Mean,StdDev,Perim.,Median
1,722.585,98.891,26.289,123.250,96
2,330.611,111.397,30.117,88.500,108
3,525.616,99.642,26.746,125.751,97
4,937.653,101.153,27.396,145.723,98
5,494.465,103.146,27.928,100.888,100
6,914.272,101.871,29.241,145.411,98
7,718.075,101.743,28.279,120.608,98
8,1338.847,99.201,26.587,168.101,96
9,646.645,97.941,26.350,112.317,95
10,547.750,103.222,27.037,126.852,100
11,491.692,100.958,28.506,95.810,97
12,579.310,99.440,34.971,107.366,94
13,670.655,104.485,30.425,123.017,100
14,475.807,103.761,40.542,90.621,96
