 ,Area,Mean,Min,Max
1,1251.715,135.886,106,195
2,1022.298,134.224,101,194
3,1104.812,140.492,106,187
4,1239.187,126.837,104,152
5,1168.430,139.025,103,202
6,1365.373,121.308,85,198
7,965.399,131.578,91,202
8,1684.863,104.740,67,185
9,2269.953,121.073,81,172
10,1535.161,109.287,71,163
11,1435.640,114.116,81,169
12,999.692,128.385,101,167
13,1322.191,129.994,99,172
14,1184.387,134.276,93,191
15,1394.208,130.224,102,174
16,928.585,126.054,95,171
17,1141.975,109.775,90,142
18,636.600,112.153,85,142
19,1347.737,113.467,86,158
20,1440.539,103.653,62,153
21,1012.080,90.528,60,131
22,1409.955,101.362,61,164
23,2292.349,88.357,49,151
24,1863.540,86.764,58,138
25,829.834,97.802,70,137
26,740.671,83.433,58,116
27,1057.711,85.195,64,111
28,572.492,104.239,73,152
29,1240.027,85.731,63,122
30,1198.875,82.543,64,103
