 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,3574.727,90.272,27.242,16,254,329.817,87
2,2056.176,88.775,26.569,16,253,199.386,85
3,4513.847,90.114,29.258,8,252,308.552,85
4,3007.056,91.838,30.182,14,253,279.954,87
5,3424.497,90.372,27.084,16,251,328.002,87
6,5721.841,89.838,28.093,17,254,425.761,86
7,4008.607,87.139,29.155,11,255,322.505,82
8,4399.389,92.065,27.628,15,255,349.298,88
9,5524.141,86.375,25.457,12,254,378.581,83
10,3505.400,92.591,29.496,4,255,277.116,88
11,4319.657,88.131,28.123,15,254,354.200,84
12,5615.203,89.610,31.551,11,255,434.747,84
13,3300.435,90.798,30.976,13,254,287.377,85
14,4287.148,89.225,27.167,16,255,331.109,85
15,3334.113,92.501,28.144,19,252,283.290,88
16,3596.523,100.088,35.362,2,253,349.270,94
17,2506.680,93.885,28.081,17,246,244.348,90
18,5168.208,94.620,31.164,18,255,363.714,89
19,3244.406,86.707,28.006,13,249,309.860,83
20,4815.538,94.623,30.692,18,254,364.255,89
21,3199.953,89.661,29.545,15,255,304.843,85
22,2567.080,92.259,30.404,3,254,244.603,88
23,2400.781,92.127,31.437,5,255,247.379,87
24,2010.922,99.204,36.938,13,251,258.817,91
25,2342.167,93.689,32.967,18,255,228.960,87
26,4667.340,98.755,34.366,10,255,343.996,92
27,5128.865,89.452,29.411,13,254,372.740,85
28,3747.368,93.501,32.872,5,249,321.623,87
29,3495.179,98.090,36.842,10,255,285.904,90
30,5008.866,92.590,30.773,7,255,350.105,87
