 ,Area,Mean,Min,Max
1,234.93,121.25,0,255
2,127.96,110.77,21,255
3,255.13,117.87,8,255
4,272.03,117.63,24,255
5,133.24,115.24,25,255
6,168.79,120.74,1,255
7,214.13,124.01,18,255
8,275.77,126.38,19,255
9,360.37,120.82,4,255
10,198.66,127.38,0,255
11,208.12,125.25,0,255
12,202.52,131.01,0,255
13,213.22,116.80,0,255
14,207.16,118.51,6,255
15,172.52,139.44,1,255
16,191.82,136.36,0,255
17,341.51,120.54,0,255
18,238.34,117.45,0,255
19,301.63,120.63,0,255
20,277.35,123.01,0,255
21,276.73,118.93,0,255
22,270.66,117.07,0,255
23,287.53,112.22,0,255
24,293.89,127.87,0,255
25,243.65,109.83,0,255
26,139.90,118.06,1,255
27,144.32,115.08,9,255
28,152.41,131.04,1,255
29,119.80,110.12,29,255
30,132.46,113.15,4,255
