 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,706.202,152.710,17.595,109,184,100.562,154
2,468.213,100.180,16.701,68,139,85.057,102
3,866.553,119.136,10.749,85,143,112.975,122
4,432.082,137.469,9.752,111,159,77.051,138
5,586.760,132.022,12.091,100,159,95.399,132
6,681.716,129.419,12.902,82,155,100.601,131
7,598.405,93.332,13.479,67,127,90.086,91
8,601.989,94.887,10.168,68,119,91.299,94
9,589.447,93.139,12.469,65,121,95.968,91
10,305.175,107.163,12.242,79,136,70.237,107
11,422.825,107.356,11.049,79,130,78.984,109
12,629.460,161.208,17.247,105,194,91.473,161
13,803.249,162.872,6.722,140,180,107.352,164
14,442.533,162.250,18.077,90,185,80.075,167
15,452.985,136.782,13.903,103,164,80.234,137
16,680.522,74.326,9.988,55,103,101.383,73
17,795.186,97.103,15.791,59,133,105.336,97
18,862.373,100.271,13.771,58,125,120.634,103
19,621.398,81.773,14.071,53,111,92.615,81
20,756.368,82.639,9.088,62,107,104.379,81
21,411.777,111.529,11.239,76,133,79.173,114
22,635.433,131.883,16.147,84,162,105.179,135
23,490.907,138.970,14.541,87,161,90.713,143
24,417.451,144.215,13.658,91,163,79.890,148
25,657.529,174.218,21.432,101,205,97.608,180
26,463.137,114.206,10.608,88,139,80.334,116
27,710.383,90.197,11.437,61,115,103.588,92
28,488.817,78.243,8.077,55,99,82.987,79
29,697.542,122.747,17.867,70,157,100.564,127
30,472.991,136.800,13.992,103,164,80.879,137
