 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,737.108,116.753,14.308,68,203,106.909,116
2,628.415,107.746,13.548,70,166,99.053,107
3,748.455,116.855,14.149,68,201,107.398,116
4,926.274,125.128,21.701,69,216,127.791,123
5,729.195,109.789,13.677,75,191,117.760,108
6,501.284,120.059,16.806,77,223,85.467,118
7,1038.625,100.247,14.714,56,198,120.542,100
8,1004.061,110.659,16.039,62,194,119.135,110
9,986.817,74.050,14.508,29,143,124.689,73
10,509.944,98.083,12.582,58,153,83.519,97
11,920.750,99.131,14.548,56,158,121.815,99
12,883.499,101.595,15.260,50,192,116.752,101
13,219.326,138.316,9.993,111,171,63.080,137
14,402.296,129.339,12.014,100,190,87.278,127
15,422.228,123.300,11.109,95,172,88.481,123
16,342.426,128.159,10.990,90,171,81.464,128
17,397.966,139.610,10.794,108,196,83.439,138
18,529.428,121.257,10.343,91,175,102.797,121
19,719.565,121.261,13.832,81,176,105.548,122
20,1152.692,110.045,12.055,76,182,131.570,109
21,874.914,121.428,10.986,88,187,114.275,121
22,677.685,115.275,11.131,84,163,95.933,115
23,830.347,119.581,10.517,83,181,110.066,119
24,736.063,112.067,8.607,83,162,106.228,112
25,1022.724,133.472,11.303,103,197,117.827,133
26,844.008,140.681,11.345,102,193,109.068,141
27,791.753,134.510,10.724,106,193,111.322,134
28,499.194,147.984,18.953,105,236,88.443,145
29,695.602,120.326,10.051,96,174,105.327,120
30,503.747,121.457,10.999,93,163,83.566,119
31,1174.042,119.369,19.425,59,227,130.520,119
32,1077.518,77.742,12.072,44,129,127.483,77
33,690.525,104.244,12.924,54,174,99.525,103
34,1168.667,74.728,11.588,42,144,127.900,75
35,807.280,117.698,23.007,64,211,113.773,113
36,1101.033,77.463,12.012,44,129,126.880,77
