 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,14519.076,128.196,12.224,83,189,601.785,128
2,8007.045,129.320,12.591,83,192,504.487,129
3,5902.442,128.364,16.034,77,186,354.924,129
4,7590.602,129.573,12.884,85,200,415.400,129
5,15150.755,125.137,12.641,72,186,616.488,125
6,16342.767,126.622,11.456,76,182,633.142,127
7,6900.710,123.849,12.727,78,189,404.889,124
8,5777.360,116.894,12.076,77,190,319.943,117
9,8535.733,113.287,11.358,77,167,399.343,113
10,7099.827,116.796,10.099,88,159,349.048,116
11,9171.592,114.091,10.445,82,165,429.773,114
12,6348.439,83.798,12.714,58,130,338.017,81
13,7715.685,66.022,4.900,52,97,371.886,65
14,5969.610,62.673,5.225,51,93,351.263,62
15,6517.105,126.918,11.194,67,176,395.756,128
16,7268.195,118.529,13.951,69,167,374.008,121
17,10826.318,126.195,13.375,62,175,534.774,128
18,4528.629,125.025,12.592,59,183,326.580,126
19,3230.641,122.815,13.193,67,171,249.147,123
20,9327.423,108.736,10.062,66,168,447.649,109
21,5905.427,115.658,9.796,79,157,331.697,115
22,7651.800,115.844,10.529,80,161,399.899,116
23,5000.896,78.939,9.553,38,129,287.700,79
24,6114.395,92.702,9.751,44,129,390.159,93
25,6787.868,99.965,16.379,53,141,333.296,102
26,6038.868,117.925,12.308,74,174,418.849,118
27,6257.090,112.298,13.243,70,175,437.894,111
28,5774.076,127.613,10.290,93,200,380.410,128
29,8717.535,107.842,12.714,75,156,477.283,108
30,8192.429,129.788,10.593,75,195,426.499,130
31,4594.603,126.332,10.010,90,174,300.358,126
32,5294.346,130.122,11.510,74,193,310.869,130
33,8626.784,127.054,11.893,80,171,488.909,127
34,4956.415,127.709,12.638,84,178,302.679,128
35,8695.146,120.122,9.126,90,166,514.721,120
36,6477.402,126.575,10.434,88,177,351.672,126
37,4148.606,129.311,12.593,88,194,299.431,128
38,7764.941,130.437,10.246,82,210,387.118,130
39,4146.218,108.128,10.575,80,147,295.774,108
40,7558.063,117.364,10.399,75,173,459.750,117
41,5027.763,125.579,10.051,88,179,378.790,126
42,5120.903,135.367,10.976,94,190,345.978,135
43,5433.160,120.435,14.091,67,180,291.640,122
44,10126.873,124.785,12.354,64,190,462.090,125
45,5305.093,105.174,12.118,70,177,372.375,105
46,7381.038,133.890,8.999,96,170,359.804,135
47,9075.169,140.326,9.051,97,172,476.887,140
48,5580.930,136.030,9.292,100,188,315.539,136
49,7942.862,116.868,11.058,85,152,420.347,118
