 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,599.647,119.655,13.106,79,166,101.448,120
2,534.699,113.550,7.250,93,135,93.676,113
3,615.044,108.119,12.083,74,150,102.772,109
4,388.287,120.831,13.315,67,163,76.264,122
5,439.797,109.406,10.915,74,149,88.051,110
6,350.214,119.877,8.210,88,148,76.160,119
7,773.215,137.258,12.361,98,167,105.815,140
8,672.993,143.861,7.585,120,171,114.495,144
9,557.935,142.311,7.648,113,164,92.553,142
10,887.713,138.008,7.771,112,165,130.693,139
11,736.821,138.148,11.598,98,175,103.028,140
12,985.415,131.049,6.975,109,167,128.379,131
13,755.298,133.474,11.232,109,175,113.606,135
14,1031.886,141.010,8.513,113,178,143.012,141
15,720.864,138.311,12.907,98,179,104.042,142
16,720.305,124.942,8.163,103,159,102.112,124
17,609.165,136.778,9.186,109,175,92.348,137
18,334.257,135.864,10.066,104,175,70.992,136
19,662.915,120.763,11.086,86,157,108.464,121
20,344.055,119.274,12.123,82,149,72.311,120
21,335.377,138.111,10.615,110,178,83.331,138
22,329.218,135.185,9.846,104,175,72.144,135
23,545.617,137.766,10.736,105,171,97.547,139
24,462.473,131.023,10.108,98,161,98.022,131
25,407.323,131.071,10.616,98,158,83.019,133
26,525.741,129.921,10.284,92,161,100.607,130
27,321.660,136.767,16.550,89,182,75.703,137
28,671.314,112.389,8.060,89,145,112.782,112
29,404.244,131.413,11.875,91,171,81.891,133
30,361.132,133.660,12.612,95,167,76.957,136
31,899.698,128.707,16.794,86,203,122.992,128
32,621.622,135.995,14.521,92,199,108.758,136
33,768.237,119.944,10.817,82,189,110.717,120
34,506.808,138.660,12.448,94,196,95.221,138
35,924.333,111.600,10.382,82,162,135.443,111
36,1198.677,129.010,11.511,86,192,148.580,129
