 ,Area,Mean,Min,Max
1,256.36,119.16,14,255
2,311.89,115.92,13,255
3,367.82,119.58,5,255
4,270.30,111.60,0,255
5,249.66,114.51,9,255
6,395.62,108.96,9,255
7,355.28,103.21,0,255
8,194.97,107.61,13,255
9,202.61,122.33,12,255
10,274.73,109.33,0,255
11,286.34,113.38,29,255
12,221.92,116.68,38,255
13,182.00,111.77,11,255
14,199.44,112.08,33,255
15,285.09,123.73,21,255
16,263.11,120.06,20,255
17,244.80,109.92,24,255
18,260.98,112.80,8,255
19,217.11,125.55,0,255
20,213.78,115.14,0,255
21,158.75,119.04,0,255
22,159.80,113.22,21,255
23,291.95,118.49,24,255
24,293.18,120.30,1,255
25,210.63,121.09,0,255
26,201.37,125.20,0,255
27,286.85,119.27,0,255
28,314.35,120.91,0,255
29,226.12,117.53,4,255
30,232.05,117.38,3,255
