 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1223.467,116.159,17.648,69,210,130.279,115
2,923.106,112.432,16.627,66,162,114.387,113
3,863.098,101.578,13.881,64,159,111.969,101
4,1283.475,91.309,11.570,57,137,136.521,92
5,741.166,86.517,11.751,55,136,99.583,86
6,1743.752,115.995,12.948,72,159,154.298,115
7,1181.014,109.565,8.753,84,152,128.762,109
8,1625.970,60.383,7.831,41,90,153.493,59
9,774.682,58.185,5.237,44,85,107.873,58
10,711.801,96.284,9.918,66,140,99.733,96
11,855.118,106.140,11.774,72,160,113.986,105
12,713.077,101.566,8.020,80,129,101.418,101
13,907.785,127.094,21.943,65,197,116.330,126
14,285.997,127.558,18.521,84,174,68.305,125
15,1030.036,146.548,26.519,95,234,125.666,143
16,961.090,114.348,16.814,76,209,121.876,112
17,945.450,104.953,12.017,76,171,112.947,104
18,978.008,124.479,14.262,84,182,119.283,124
19,1211.657,93.048,11.298,55,135,134.715,92
20,1016.630,93.690,13.914,53,144,119.184,93
21,1584.155,86.751,12.428,48,149,150.753,86
22,650.515,93.519,8.196,69,131,98.740,93
23,1463.819,104.673,13.978,71,160,145.601,105
24,914.488,126.641,22.006,65,197,121.851,125
25,836.605,129.176,21.468,81,230,110.094,129
