 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,2690294,113349,16527,64,165,196061,115
2,1948994,123494,15460,73,174,170204,125
3,3276224,125767,18535,71,183,214929,128
4,1982867,121934,16127,78,176,170973,122
5,2785756,128070,12915,81,177,205524,128
6,3243190,131360,15691,77,186,214098,132
7,2702052,127744,11386,87,175,203835,127
8,2124521,127087,12069,75,171,174931,127
9,3020352,135904,11981,96,195,208803,137
10,2220263,118696,11882,74,160,176391,120
11,2517847,112221,9398,74,176,199319,112
12,2460737,108510,16658,58,158,189073,109
13,1665687,118900,13192,76,182,155278,118
14,3182162,114496,8874,79,156,224898,114
15,4545505,104319,13378,61,146,256511,107
16,3314577,114206,8808,79,156,218149,114
17,2742084,127959,13698,80,183,206844,129
18,5277008,117872,10379,67,167,278373,118
19,3938859,113479,15954,70,164,234679,115
20,3896028,129613,12227,80,187,251730,130
21,2757762,108066,8544,68,151,202509,108
22,4473839,119783,22428,48,200,252090,119
23,4164497,128931,20167,65,191,249808,130
24,4378097,116743,16917,67,187,247969,118
25,4406931,93840,16942,49,172,271345,91
26,3524817,112259,16340,60,172,233633,113
27,3411719,66884,7925,40,119,215498,67
28,5044932,111960,16264,53,179,277721,113
29,3978892,107881,15625,51,158,241029,110
30,2488452,112524,17694,54,170,187609,114
31,3687187,97057,14611,47,168,223698,96
32,5027855,80827,9367,48,134,285088,81
33,5159710,145098,18087,70,196,275033,148
34,3405840,117016,18669,54,178,220326,118
35,3480866,144039,16970,87,200,226633,144
36,2487612,114328,12027,82,210,188398,114
37,3536295,136289,10850,108,173,232550,137
38,3698385,126230,13077,74,191,241641,127
39,2104644,125321,11334,77,181,180402,126
40,4305031,126058,12945,67,173,270214,127
41,2872260,108436,11443,74,152,207656,108
