 ,Area,Mean,StdDev,Perim.,Median
1,694.834,98.734,26.480,116.982,96
2,939.135,97.127,26.544,139.043,94
3,770.667,97.651,26.374,111.753,94
4,744.254,99.138,25.563,110.076,96
5,869.810,89.782,26.901,120.172,86
6,729.269,90.093,26.542,106.245,86
7,839.386,89.287,23.657,115.115,87
8,773.922,90.179,24.324,112.409,87
9,780.279,90.350,24.779,107.198,87
10,840.522,90.878,23.599,113.245,88
11,640.419,85.764,21.355,113.584,83
12,743.119,84.897,24.088,116.363,82
13,614.006,95.595,26.972,114.975,92
14,1153.011,96.935,29.610,136.414,92
15,1320.344,90.586,24.712,155.852,88
16,1026.623,99.601,28.375,148.468,95
17,1127.280,104.726,27.924,133.008,101
18,1877.589,106.505,33.376,172.989,101
19,1155.812,102.875,28.133,132.079,99
20,953.060,111.073,33.545,115.092,106
21,1324.128,103.240,29.119,148.240,99
22,996.048,108.610,30.487,122.387,104
23,1072.259,109.595,30.144,124.035,105
24,987.344,107.456,29.610,120.563,103
25,1346.378,103.087,27.035,151.601,100
26,1053.566,107.062,26.958,131.313,104
27,1414.341,104.111,28.914,148.778,100
28,873.746,107.349,30.867,124.586,103
29,942.465,105.754,25.635,116.680,103
30,1007.778,108.433,27.994,123.691,106
31,1253.365,105.354,27.600,142.413,102
32,1093.828,101.958,27.022,131.124,99
33,1130.685,103.494,26.511,139.508,101
34,1194.258,104.422,28.012,153.720,101
35,711.257,100.716,26.413,105.830,98
