 ,Area,Mean,StdDev,Perim.,Median
1,121.901,104.752,28.865,41.883,101
2,100.170,111.436,31.931,38.802,108
3,228.971,109.504,30.789,58.269,106
4,191.099,109.647,30.471,58.329,106
5,173.482,110.951,31.985,54.695,107
6,201.394,113.618,33.147,66.216,109
7,311.062,111.330,31.975,70.950,107
8,238.153,111.250,34.171,60.683,106
9,225.743,108.845,30.004,57.327,105
10,179.998,110.579,30.776,52.084,107
11,216.423,110.338,30.991,55.428,106
12,339.318,112.614,33.420,87.387,108
13,346.955,114.985,37.646,76.336,108
14,170.205,118.062,34.660,54.820,114
15,372.810,113.869,33.215,92.652,109
16,251.095,107.819,29.750,60.500,104
17,323.738,108.401,30.902,72.514,105
18,239.551,107.865,30.143,61.934,104
19,405.071,111.167,31.651,85.595,107
20,270.080,116.514,35.632,64.884,112
21,316.731,120.277,36.189,98.371,115
22,281.753,108.017,31.103,78.846,104
23,354.415,110.852,32.249,96.093,106
24,360.222,110.627,32.307,80.407,106
25,430.700,118.319,36.408,98.135,113
26,243.163,126.715,37.454,63.053,122
27,279.371,126.767,39.310,70.634,121
28,303.533,114.673,33.863,75.102,110
29,331.405,111.097,31.655,74.756,107
30,173.630,108.035,30.762,66.116,104
31,558.900,117.011,33.042,104.827,113
32,294.646,120.873,33.861,87.291,117
33,255.121,129.999,38.385,78.404,125
34,246.854,128.793,39.405,74.728,123
35,228.036,115.261,32.434,63.307,111
36,341.828,112.510,32.582,86.368,108
37,465.185,108.542,29.504,98.756,105
38,215.812,117.809,32.864,64.768,114
39,209.848,122.257,33.841,59.994,118
40,188.590,125.208,34.240,64.637,122
41,338.668,120.141,33.073,91.147,117
42,260.209,127.138,36.755,70.386,122
43,240.732,112.762,29.609,79.354,109
44,263.132,112.698,32.490,70.868,109
45,244.196,107.188,28.520,64.505,104
46,240.584,119.045,31.675,60.287,116
47,236.490,107.421,28.634,64.474,104
48,273.338,107.841,29.537,68.292,105
