 ,Area,Mean,StdDev,Perim.,Median
1,377.471,114.898,39.197,85.335,110
2,268.923,116.562,41.150,64.452,111
3,193.344,121.029,44.199,61.071,115
4,175.383,114.740,43.324,59.348,108
5,225.723,113.264,39.522,65.432,109
6,421.973,116.852,40.419,89.014,112
7,395.679,116.895,39.971,85.892,112
8,344.098,114.502,40.276,73.311,109
9,379.301,114.766,38.834,88.693,110
10,276.893,117.341,42.584,67.512,112
11,442.093,115.448,41.783,88.361,110
12,339.795,113.488,42.118,81.051,107
13,248.392,115.208,42.122,70.348,109
14,334.360,114.129,40.715,75.234,109
15,492.748,116.970,42.095,96.875,111
16,230.157,117.161,42.656,65.663,112
17,407.048,122.755,44.683,80.726,117
18,511.539,121.903,45.745,91.822,115
19,444.101,117.059,41.717,91.857,112
20,274.570,118.740,44.647,66.800,113
21,200.238,110.436,40.424,55.444,105
22,294.676,115.023,44.289,71.409,108
23,267.409,121.900,42.986,68.952,117
24,393.027,125.469,43.795,79.941,120
25,401.380,116.670,41.366,83.525,112
26,223.592,123.011,46.402,59.809,116
27,322.539,117.215,44.051,73.811,111
28,311.835,122.951,43.312,68.139,117
29,400.030,115.691,41.456,80.890,110
30,363.060,122.444,41.788,71.038,117
