 ,Area,Mean,StdDev,Perim.,Median
1,1950.402,119.291,52.944,196.478,101
2,1393.742,117.122,48.523,181.607,102
3,1551.458,101.856,23.103,186.047,98
4,1678.446,99.199,25.474,176.070,95
5,1430.843,97.413,23.432,162.710,93
6,1394.045,97.891,22.069,174.335,94
7,1890.870,98.391,21.750,210.232,95
8,1942.003,103.998,33.722,195.966,95
9,1193.156,93.383,18.022,144.970,91
10,1630.686,100.507,23.517,171.338,96
11,1395.158,93.610,19.096,143.967,91
12,1541.980,103.294,25.436,151.147,99
13,1540.833,104.057,30.714,163.027,98
14,1556.820,104.146,24.847,156.750,100
15,1785.704,103.554,27.000,199.847,98
16,1826.448,98.279,23.598,199.679,94
17,2700.261,101.240,30.626,250.794,94
18,2488.646,96.578,22.112,248.160,93
19,1056.757,103.716,27.864,163.377,98
20,1517.796,96.696,22.278,167.808,93
21,1797.071,106.094,25.800,227.090,102
22,2371.472,107.834,27.824,211.340,103
23,2227.889,96.452,24.427,246.670,92
24,1745.668,98.445,22.647,214.185,94
25,1162.801,100.763,23.379,160.431,97
26,165783.815,100.876,27.252,8960.000,96
27,1370.233,92.871,20.686,215.744,90
28,1419.409,99.280,25.917,211.660,95
29,1080.232,109.891,29.107,160.820,105
30,1378.193,101.023,27.761,170.235,95
