 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,337.387,101.016,20.377,64,163,72.179,98
2,503.367,108.276,16.910,71,171,86.407,107
3,585.400,113.742,22.799,68,185,99.635,110
4,494.749,112.292,18.618,70,170,83.880,112
5,561.461,104.421,22.985,59,199,86.822,104
6,454.531,112.192,21.383,63,181,80.836,113
7,284.720,110.972,20.500,71,194,68.944,110
8,394.523,117.200,21.774,72,207,76.805,116
9,268.761,111.620,22.477,62,227,64.402,113
10,325.896,120.655,21.685,70,190,72.485,119
11,343.133,112.882,16.087,77,180,71.142,111
12,254.716,112.221,22.526,68,227,64.323,114
13,373.137,119.297,19.022,77,197,72.626,117
14,601.360,114.337,14.927,81,166,95.351,113
15,469.852,104.790,15.759,68,158,84.895,104
16,524.434,110.656,19.278,67,170,88.282,110
17,281.528,112.924,20.772,76,219,66.489,112
18,332.599,108.137,20.995,62,194,71.800,108
19,576.782,115.978,22.136,65,195,91.248,113
20,303.233,120.718,24.862,70,209,66.521,117
21,474.321,120.620,19.065,79,202,86.902,118
22,405.375,117.541,19.299,74,217,81.392,117
23,437.295,97.891,16.625,64,153,80.534,97
24,515.178,82.862,10.681,51,125,87.876,82
25,339.621,107.752,19.212,60,165,70.682,108
