 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,558.692,137.187,8.229,109,155,89.660,137
2,538.220,149.793,10.781,113,173,86.960,149
3,755.490,157.329,11.655,114,185,109.359,157
4,538.220,117.663,15.246,87,154,94.329,116
5,349.018,146.459,9.568,111,168,69.440,147
6,815.585,157.591,13.555,100,196,109.497,157
7,580.485,149.082,14.389,111,181,93.273,149
8,670.629,135.054,14.257,99,168,101.856,135
9,559.683,142.822,12.011,102,174,86.589,142
10,369.490,160.422,9.104,126,182,79.314,161
11,563.315,133.944,13.705,105,165,90.241,131
12,716.196,96.702,5.893,73,115,102.789,96
13,896.483,96.990,6.002,77,111,116.388,98
14,651.808,95.766,7.410,75,112,95.875,95
15,965.825,106.091,11.682,74,131,117.689,107
16,667.987,140.488,6.052,116,154,103.152,141
17,322.932,154.441,4.999,139,168,70.988,154
18,534.918,148.020,7.927,126,164,84.500,148
19,471.851,141.744,10.038,112,168,83.787,142
20,427.935,120.897,5.076,102,134,76.057,121
21,605.911,129.099,7.872,103,146,92.659,129
22,473.502,143.681,11.178,102,165,100.356,145
23,871.058,128.402,7.647,102,154,117.665,129
24,552.749,128.627,8.952,109,151,91.917,127
25,328.876,131.161,7.936,106,147,69.885,132
26,752.188,133.085,6.951,107,151,100.686,133
27,982.665,129.851,8.191,102,150,120.226,131
28,416.048,159.671,9.314,126,182,81.389,160
29,337.461,159.271,9.389,129,179,70.150,159
30,759.452,82.862,5.356,70,97,102.616,83
31,816.906,81.954,4.726,68,100,105.915,82
