species,stage,Sample code,flower size
D. speciosus,1,DS1-9,1 cm
D. speciosus,1,DS1-2,1 cm
D. speciosus,1,DS1-15,1 cm
D. speciosus,2,DS2-2,2.2 cm
D. speciosus,2,DS2-7,2.2 cm
D. speciosus,2,DS2-14,2.2 cm
D. speciosus,3,DS3-14,10 cm (pre-anthsis)
D. speciosus,3,DS3-15,10 cm (pre-anthsis)
D. speciosus,3,DS3-16,10 cm (pre-anthsis)
D.eichlamii,1,DE1-14,1 cm
D.eichlamii,1,DE1-10,1 cm
D.eichlamii,1,DE1-2,1 cm
D.eichlamii,2,DE2-1,3 cm
D.eichlamii,2,DE2-4,3 cm
D.eichlamii,2,DE2-7,3 cm
D.eichlamii,3,DE3-7,4.6 cm (pre-anthesis)
D.eichlamii,3,DE3-8,4.6 cm (pre-anthesis)
D.eichlamii,3,DE3-3,4.6 cm (pre-anthesis)
