sample_name sample_replicate_name tissue        development_stage
DE1_PA DE1-10PA_k_quant           Perianth            1
DE1_PC DE1-10PC_k_quant           Pericarpel          1
DE1_PA DE1-14PA_k_quant           Perianth            1
DE1_PC DE1-14PC_k_quant           Pericarpel          1
DE1_PA DE1-2PA_k_quant            Perianth            1
DE1_PC DE1-2PC_k_quant            Pericarpel          1
DE2_PA DE2-1PA_k_quant            Perianth            2
DE2_PC DE2-1PC_k_quant            Pericarpel          2
DE2_PA DE2-4PA_k_quant            Perianth            2
DE2_PC DE2-4PC_k_quant            Pericarpel          2
DE2_PA DE2-7PA_k_quant            Perianth            2
DE2_PC DE2-7PC_k_quant            Pericarpel          2
DE3_PA DE3-3PA_k_quant            Perianth            3
DE3_PC DE3-3PC_k_quant            Pericarpel          3
DE3_PA DE3-7PA_k_quant            Perianth            3
DE3_PC DE3-7PC_k_quant            Pericarpel          3
DE3_PA DE3-8PA_k_quant            Perianth            3
DE3_PC DE3-8PC_k_quant            Pericarpel          3
DS1_PA DS1-15PA_k_quant           Perianth            1
DS1_PC DS1-15PC_k_quant           Pericarpel          1
DS1_PA DS1-2PA_k_quant            Perianth            1
DS1_PC DS1-2PC_k_quant            Pericarpel          1
DS1_PA DS1-9PA_k_quant            Perianth            1
DS1_PC DS1-9PC_k_quant            Pericarpel          1
DS2_PA DS2-14PA_k_quant           Perianth            2
DS2_PC DS2-14PC_k_quant           Pericarpel          2
DS2_PA DS2-2PA_k_quant            Perianth            2
DS2_PC DS2-2PC_k_quant            Pericarpel          2
DS2_PA DS2-7PA_k_quant            Perianth            2 
DS2_PC DS2-7PC_k_quant            Pericarpel          2
DS3_PA DS3-14PA_k_quant           Perianth            3
DS3_PC DS3-14PC_k_quant           Pericarpel          3
DS3_PA DS3-15PA_k_quant           Perianth            3
DS3_PC DS3-15PC_k_quant           Pericarpel          3
DS3_PA DS3-16PA_k_quant           Perianth            3
DS3_PC DS3-16PC_k_quant           Pericarpel          3
