# BUSCO version is: 2.0.1 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /home/deepseq/tool/BUSCO_v2.0.1/BUSCO.py -i Trinity.fasta.ca -o 202011110210-B1YMW2LFF1NY5T3G_DE_trans -l /home/deepseq/tool/BUSCO_v2.0.1/embryophyta_odb9/ -m tran -c 32 -sp arabidopsis
#
# Busco id	Status	Sequence	Score	Length
EOG09360002	Complete	C0000214585_TRINITY_DN23682_c0_g1_i1	4931.7	2463
EOG0936000A	Fragmented	C0000112304_TRINITY_DN22616_c0_g1_i1	2845.1	1921
EOG0936001N	Duplicated	C0000295078_TRINITY_DN29943_c5_g1_i4	3501.8	1989
EOG0936001N	Duplicated	C0000295080_TRINITY_DN29943_c5_g1_i6	2984.0	1487
EOG0936001N	Duplicated	C0000295081_TRINITY_DN29943_c5_g1_i7	2985.2	1487
EOG0936001W	Duplicated	C0000050439_TRINITY_DN21075_c0_g1_i1	2406.2	1655
EOG0936001W	Duplicated	C0000050440_TRINITY_DN21075_c0_g1_i2	2380.3	1655
EOG09360025	Duplicated	C0000242092_TRINITY_DN26804_c2_g1_i16	2751.4	1624
EOG09360025	Duplicated	C0000242094_TRINITY_DN26804_c2_g1_i17	2751.7	1624
EOG09360025	Duplicated	C0000242098_TRINITY_DN26804_c2_g1_i18	2751.4	1624
EOG0936003Z	Duplicated	C0000276587_TRINITY_DN30413_c0_g2_i1	1468.9	1013
EOG0936003Z	Duplicated	C0000276589_TRINITY_DN30413_c0_g1_i2	1519.1	1133
EOG0936004R	Duplicated	C0000104176_TRINITY_DN28921_c4_g1_i6	1176.5	817
EOG0936004R	Duplicated	C0000190563_TRINITY_DN30568_c0_g1_i2	1175.6	817
EOG0936004R	Duplicated	C0000190565_TRINITY_DN30568_c0_g1_i4	1175.4	817
EOG0936004W	Fragmented	C0000101165_TRINITY_DN28998_c0_g1_i3	1593.5	899
EOG0936008E	Duplicated	C0000177657_TRINITY_DN26190_c0_g1_i3	789.3	637
EOG0936008E	Duplicated	C0000177661_TRINITY_DN26190_c0_g1_i7	789.4	637
EOG0936008E	Duplicated	C0000177662_TRINITY_DN26190_c0_g1_i8	789.4	637
EOG0936008K	Duplicated	C0000204901_TRINITY_DN14699_c0_g1_i1	2451.6	1153
EOG0936008K	Duplicated	C0000309997_TRINITY_DN20777_c0_g1_i2	2452.3	1153
EOG09360091	Duplicated	C0000237439_TRINITY_DN29824_c0_g2_i6	2137.7	1212
EOG09360091	Duplicated	C0000237441_TRINITY_DN29824_c0_g2_i7	1969.4	1113
EOG09360091	Duplicated	C0000237448_TRINITY_DN29824_c0_g2_i11	2137.4	1211
EOG0936009W	Duplicated	C0000099034_TRINITY_DN26384_c0_g2_i1	905.9	683
EOG0936009W	Duplicated	C0000099036_TRINITY_DN26384_c0_g3_i2	905.9	683
EOG093600CA	Duplicated	C0000150882_TRINITY_DN14535_c0_g1_i1	2329.0	1144
EOG093600CA	Duplicated	C0000303858_TRINITY_DN19382_c0_g1_i1	2329.1	1144
EOG093600CH	Duplicated	C0000030208_TRINITY_DN20697_c0_g1_i2	2057.4	1122
EOG093600CH	Duplicated	C0000030210_TRINITY_DN20697_c0_g1_i4	2057.3	1122
EOG093600CH	Duplicated	C0000030211_TRINITY_DN20697_c0_g1_i5	1896.0	998
EOG093600CL	Duplicated	C0000212228_TRINITY_DN24052_c0_g2_i1	2186.1	1378
EOG093600CL	Duplicated	C0000212229_TRINITY_DN24052_c0_g3_i1	2186.3	1377
EOG093600CL	Duplicated	C0000212231_TRINITY_DN24052_c0_g3_i3	2155.0	1383
EOG093600DF	Duplicated	C0000203991_TRINITY_DN23524_c0_g2_i1	1392.3	1182
EOG093600DF	Duplicated	C0000203992_TRINITY_DN23524_c0_g1_i3	1248.4	1132
EOG093600DF	Duplicated	C0000203994_TRINITY_DN23524_c0_g1_i4	1248.2	1095
EOG093600DJ	Duplicated	C0000170470_TRINITY_DN24844_c0_g1_i2	2115.4	1255
EOG093600DJ	Duplicated	C0000170471_TRINITY_DN24844_c0_g1_i3	2115.4	1255
EOG093600DL	Duplicated	C0000268594_TRINITY_DN29531_c1_g1_i3	1732.8	1116
EOG093600DL	Duplicated	C0000268595_TRINITY_DN29531_c1_g1_i4	1733.4	1116
EOG093600DL	Duplicated	C0000268616_TRINITY_DN29531_c1_g1_i10	1732.6	1116
EOG093600EH	Duplicated	C0000239561_TRINITY_DN18700_c0_g1_i1	1721.2	942
EOG093600EH	Duplicated	C0000239562_TRINITY_DN18700_c0_g1_i2	1721.2	942
EOG093600FR	Complete	C0000175050_TRINITY_DN25964_c1_g1_i3	1496.9	1100
EOG093600G6	Duplicated	C0000192949_TRINITY_DN30545_c0_g1_i14	1919.2	1601
EOG093600G6	Duplicated	C0000192955_TRINITY_DN30545_c0_g1_i19	1920.0	1601
EOG093600G6	Duplicated	C0000192957_TRINITY_DN30545_c0_g1_i21	1919.3	1599
EOG093600GM	Missing
EOG093600H1	Duplicated	C0000194608_TRINITY_DN13326_c0_g1_i1	617.2	466
EOG093600H1	Duplicated	C0000194610_TRINITY_DN13326_c0_g1_i3	685.2	533
